counter,block_x,block_y,block_z,block_type,bot_x,bot_y,bot_z,bot_pitch,bot_yaw
1,-9,3,0,1,0.5,2.001,-9.5,0,180
2,-8,3,0,1,0.5,2.001,-9.5,0,180
3,-7,3,0,1,0.5,2.001,-9.5,0,180
4,-6,3,0,1,0.5,2.001,-9.5,0,180
5,-5,3,0,1,0.5,2.001,-9.5,0,180
6,-4,3,0,1,0.5,2.001,-9.5,0,180
7,-3,3,0,1,0.5,2.001,-9.5,0,180
8,-2,3,0,1,0.5,2.001,-9.5,0,180
9,-1,3,0,1,0.5,2.001,-9.5,0,180
10,0,3,0,1,0.5,2.001,-9.5,0,180
11,1,3,0,1,0.5,2.001,-9.5,0,180
12,2,3,0,1,0.5,2.001,-9.5,0,180
13,3,3,0,1,0.5,2.001,-9.5,0,180
14,4,3,0,1,0.5,2.001,-9.5,0,180
15,5,3,0,1,0.5,2.001,-9.5,0,180
16,6,3,0,1,0.5,2.001,-9.5,0,180
17,7,3,0,1,0.5,2.001,-9.5,0,180
18,8,3,0,1,0.5,2.001,-9.5,0,180
19,9,3,0,1,0.5,2.001,-9.5,0,180
20,10,3,0,1,0.5,2.001,-9.5,0,180
21,-10,4,0,1,0.5,2.001,-9.5,0,180
22,-9,4,0,1,0.5,2.001,-9.5,0,180
23,-8,4,0,1,0.5,2.001,-9.5,0,180
24,-7,4,0,1,0.5,2.001,-9.5,0,180
25,-6,4,0,1,0.5,2.001,-9.5,0,180
26,-5,4,0,1,0.5,2.001,-9.5,0,180
27,-4,4,0,1,0.5,2.001,-9.5,0,180
28,-3,4,0,1,0.5,2.001,-9.5,0,180
29,-2,4,0,1,0.5,2.001,-9.5,0,180
30,-1,4,0,1,0.5,2.001,-9.5,0,180
31,0,4,0,1,0.5,2.001,-9.5,0,180
32,1,4,0,1,0.5,2.001,-9.5,0,180
33,2,4,0,1,0.5,2.001,-9.5,0,180
34,3,4,0,1,0.5,2.001,-9.5,0,180
35,4,4,0,1,0.5,2.001,-9.5,0,180
36,5,4,0,1,0.5,2.001,-9.5,0,180
37,6,4,0,1,0.5,2.001,-9.5,0,180
38,7,4,0,1,0.5,2.001,-9.5,0,180
39,8,4,0,1,0.5,2.001,-9.5,0,180
40,9,4,0,1,0.5,2.001,-9.5,0,180
41,10,4,0,1,0.5,2.001,-9.5,0,180
42,-10,5,0,1,0.5,2.001,-9.5,0,180
43,-9,5,0,1,0.5,2.001,-9.5,0,180
44,-8,5,0,1,0.5,2.001,-9.5,0,180
45,-7,5,0,1,0.5,2.001,-9.5,0,180
46,-6,5,0,1,0.5,2.001,-9.5,0,180
47,-5,5,0,1,0.5,2.001,-9.5,0,180
48,-4,5,0,1,0.5,2.001,-9.5,0,180
49,-3,5,0,1,0.5,2.001,-9.5,0,180
50,-2,5,0,1,0.5,2.001,-9.5,0,180
51,-1,5,0,1,0.5,2.001,-9.5,0,180
52,0,5,0,1,0.5,2.001,-9.5,0,180
53,1,5,0,1,0.5,2.001,-9.5,0,180
54,2,5,0,1,0.5,2.001,-9.5,0,180
55,3,5,0,1,0.5,2.001,-9.5,0,180
56,4,5,0,1,0.5,2.001,-9.5,0,180
57,5,5,0,1,0.5,2.001,-9.5,0,180
58,6,5,0,1,0.5,2.001,-9.5,0,180
59,7,5,0,1,0.5,2.001,-9.5,0,180
60,8,5,0,1,0.5,2.001,-9.5,0,180
61,9,5,0,1,0.5,2.001,-9.5,0,180
62,10,5,0,1,0.5,2.001,-9.5,0,180
63,-10,6,0,1,0.5,2.001,-9.5,0,180
64,-9,6,0,1,0.5,2.001,-9.5,0,180
65,-8,6,0,1,0.5,2.001,-9.5,0,180
66,-7,6,0,1,0.5,2.001,-9.5,0,180
67,-6,6,0,1,0.5,2.001,-9.5,0,180
68,-5,6,0,1,0.5,2.001,-9.5,0,180
69,-4,6,0,1,0.5,2.001,-9.5,0,180
